================ Training Loss (Fri Jun 16 23:20:50 2023) ================
(epoch: 2, iters: 256, time: 0.033, data: 0.216) D_A: 0.515 G_A: 0.024 cycle_A: 0.118 idt_A: 0.000 D_B: 0.008 G_B: 1.037 cycle_B: 4.548 idt_B: 0.000 
(epoch: 3, iters: 512, time: 0.036, data: 0.000) D_A: 0.502 G_A: 0.022 cycle_A: 0.117 idt_A: 0.000 D_B: 0.008 G_B: 0.991 cycle_B: 3.827 idt_B: 0.000 
(epoch: 5, iters: 224, time: 0.036, data: 0.002) D_A: 0.479 G_A: 0.020 cycle_A: 0.100 idt_A: 0.000 D_B: 0.008 G_B: 0.965 cycle_B: 3.633 idt_B: 0.000 
(epoch: 6, iters: 480, time: 0.038, data: 0.002) D_A: 0.469 G_A: 0.020 cycle_A: 0.100 idt_A: 0.000 D_B: 0.008 G_B: 0.935 cycle_B: 3.629 idt_B: 0.000 
(epoch: 8, iters: 192, time: 0.034, data: 0.002) D_A: 0.446 G_A: 0.020 cycle_A: 0.086 idt_A: 0.000 D_B: 0.009 G_B: 0.883 cycle_B: 3.564 idt_B: 0.000 
(epoch: 9, iters: 448, time: 0.034, data: 0.002) D_A: 0.434 G_A: 0.021 cycle_A: 0.080 idt_A: 0.000 D_B: 0.008 G_B: 0.839 cycle_B: 3.600 idt_B: 0.000 
(epoch: 11, iters: 160, time: 0.036, data: 0.002) D_A: 0.415 G_A: 0.021 cycle_A: 0.074 idt_A: 0.000 D_B: 0.008 G_B: 0.820 cycle_B: 3.574 idt_B: 0.000 
(epoch: 12, iters: 416, time: 0.035, data: 0.000) D_A: 0.405 G_A: 0.020 cycle_A: 0.064 idt_A: 0.000 D_B: 0.008 G_B: 0.795 cycle_B: 3.558 idt_B: 0.000 
(epoch: 14, iters: 128, time: 0.034, data: 0.002) D_A: 0.388 G_A: 0.020 cycle_A: 0.066 idt_A: 0.000 D_B: 0.009 G_B: 0.773 cycle_B: 3.557 idt_B: 0.000 
(epoch: 15, iters: 384, time: 0.035, data: 0.004) D_A: 0.386 G_A: 0.020 cycle_A: 0.058 idt_A: 0.000 D_B: 0.008 G_B: 0.757 cycle_B: 3.556 idt_B: 0.000 
(epoch: 17, iters: 96, time: 0.037, data: 0.002) D_A: 0.380 G_A: 0.020 cycle_A: 0.059 idt_A: 0.000 D_B: 0.008 G_B: 0.748 cycle_B: 3.547 idt_B: 0.000 
(epoch: 18, iters: 352, time: 0.033, data: 0.000) D_A: 0.375 G_A: 0.021 cycle_A: 0.062 idt_A: 0.000 D_B: 0.009 G_B: 0.735 cycle_B: 3.511 idt_B: 0.000 
