================ Training Loss (Sat Jun 24 19:50:30 2023) ================
(epoch: 3, iters: 96, time: 0.258, data: 0.238) D_A: 0.472 G_A: 0.053 cycle_A: 0.109 idt_A: 0.000 D_B: 0.009 G_B: 0.961 cycle_B: 5.090 idt_B: 0.000 
(epoch: 5, iters: 192, time: 0.260, data: 0.002) D_A: 0.468 G_A: 0.045 cycle_A: 0.103 idt_A: 0.000 D_B: 0.009 G_B: 0.938 cycle_B: 4.117 idt_B: 0.000 
(epoch: 7, iters: 288, time: 0.258, data: 0.000) D_A: 0.434 G_A: 0.039 cycle_A: 0.075 idt_A: 0.000 D_B: 0.008 G_B: 0.903 cycle_B: 3.372 idt_B: 0.000 
(epoch: 10, iters: 32, time: 0.261, data: 0.002) D_A: 0.427 G_A: 0.031 cycle_A: 0.064 idt_A: 0.000 D_B: 0.009 G_B: 0.883 cycle_B: 2.755 idt_B: 0.000 
(epoch: 12, iters: 128, time: 0.258, data: 0.001) D_A: 0.420 G_A: 0.026 cycle_A: 0.052 idt_A: 0.000 D_B: 0.008 G_B: 0.828 cycle_B: 2.524 idt_B: 0.000 
(epoch: 14, iters: 224, time: 0.258, data: 0.003) D_A: 0.397 G_A: 0.024 cycle_A: 0.046 idt_A: 0.000 D_B: 0.009 G_B: 0.797 cycle_B: 2.374 idt_B: 0.000 
(epoch: 16, iters: 320, time: 0.258, data: 0.002) D_A: 0.412 G_A: 0.024 cycle_A: 0.061 idt_A: 0.000 D_B: 0.008 G_B: 0.791 cycle_B: 2.444 idt_B: 0.000 
(epoch: 19, iters: 64, time: 0.258, data: 0.002) D_A: 0.388 G_A: 0.022 cycle_A: 0.049 idt_A: 0.000 D_B: 0.008 G_B: 0.784 cycle_B: 2.233 idt_B: 0.000 
(epoch: 21, iters: 160, time: 0.258, data: 0.001) D_A: 0.374 G_A: 0.021 cycle_A: 0.041 idt_A: 0.000 D_B: 0.008 G_B: 0.739 cycle_B: 2.237 idt_B: 0.000 
(epoch: 23, iters: 256, time: 0.259, data: 0.002) D_A: 0.383 G_A: 0.021 cycle_A: 0.044 idt_A: 0.000 D_B: 0.008 G_B: 0.743 cycle_B: 2.241 idt_B: 0.000 
(epoch: 25, iters: 352, time: 0.166, data: 0.005) D_A: 0.357 G_A: 0.021 cycle_A: 0.042 idt_A: 0.000 D_B: 0.008 G_B: 0.723 cycle_B: 2.226 idt_B: 0.000 
(epoch: 28, iters: 96, time: 0.257, data: 0.215) D_A: 0.356 G_A: 0.021 cycle_A: 0.041 idt_A: 0.000 D_B: 0.008 G_B: 0.669 cycle_B: 2.202 idt_B: 0.000 
(epoch: 30, iters: 192, time: 0.260, data: 0.002) D_A: 0.358 G_A: 0.020 cycle_A: 0.042 idt_A: 0.000 D_B: 0.008 G_B: 0.689 cycle_B: 2.191 idt_B: 0.000 
(epoch: 32, iters: 288, time: 0.258, data: 0.002) D_A: 0.341 G_A: 0.020 cycle_A: 0.033 idt_A: 0.000 D_B: 0.008 G_B: 0.634 cycle_B: 2.072 idt_B: 0.000 
(epoch: 35, iters: 32, time: 0.262, data: 0.002) D_A: 0.329 G_A: 0.020 cycle_A: 0.034 idt_A: 0.000 D_B: 0.008 G_B: 0.626 cycle_B: 2.026 idt_B: 0.000 
(epoch: 37, iters: 128, time: 0.258, data: 0.001) D_A: 0.329 G_A: 0.021 cycle_A: 0.030 idt_A: 0.000 D_B: 0.008 G_B: 0.620 cycle_B: 2.031 idt_B: 0.000 
(epoch: 39, iters: 224, time: 0.258, data: 0.004) D_A: 0.329 G_A: 0.021 cycle_A: 0.033 idt_A: 0.000 D_B: 0.008 G_B: 0.613 cycle_B: 1.955 idt_B: 0.000 
(epoch: 41, iters: 320, time: 0.258, data: 0.002) D_A: 0.323 G_A: 0.021 cycle_A: 0.033 idt_A: 0.000 D_B: 0.008 G_B: 0.608 cycle_B: 1.970 idt_B: 0.000 
(epoch: 44, iters: 64, time: 0.258, data: 0.002) D_A: 0.314 G_A: 0.021 cycle_A: 0.038 idt_A: 0.000 D_B: 0.008 G_B: 0.549 cycle_B: 1.943 idt_B: 0.000 
(epoch: 46, iters: 160, time: 0.257, data: 0.002) D_A: 0.304 G_A: 0.021 cycle_A: 0.027 idt_A: 0.000 D_B: 0.008 G_B: 0.546 cycle_B: 2.003 idt_B: 0.000 
(epoch: 48, iters: 256, time: 0.258, data: 0.003) D_A: 0.301 G_A: 0.021 cycle_A: 0.027 idt_A: 0.000 D_B: 0.008 G_B: 0.529 cycle_B: 1.932 idt_B: 0.000 
(epoch: 50, iters: 352, time: 0.164, data: 0.002) D_A: 0.303 G_A: 0.021 cycle_A: 0.023 idt_A: 0.000 D_B: 0.008 G_B: 0.561 cycle_B: 1.971 idt_B: 0.000 
(epoch: 53, iters: 96, time: 0.258, data: 0.216) D_A: 0.306 G_A: 0.021 cycle_A: 0.031 idt_A: 0.000 D_B: 0.008 G_B: 0.503 cycle_B: 1.899 idt_B: 0.000 
(epoch: 55, iters: 192, time: 0.260, data: 0.004) D_A: 0.299 G_A: 0.021 cycle_A: 0.023 idt_A: 0.000 D_B: 0.008 G_B: 0.492 cycle_B: 1.973 idt_B: 0.000 
(epoch: 57, iters: 288, time: 0.257, data: 0.002) D_A: 0.309 G_A: 0.021 cycle_A: 0.032 idt_A: 0.000 D_B: 0.008 G_B: 0.496 cycle_B: 1.919 idt_B: 0.000 
(epoch: 60, iters: 32, time: 0.262, data: 0.003) D_A: 0.299 G_A: 0.021 cycle_A: 0.022 idt_A: 0.000 D_B: 0.008 G_B: 0.471 cycle_B: 1.892 idt_B: 0.000 
(epoch: 62, iters: 128, time: 0.258, data: 0.006) D_A: 0.286 G_A: 0.021 cycle_A: 0.020 idt_A: 0.000 D_B: 0.008 G_B: 0.463 cycle_B: 1.892 idt_B: 0.000 
(epoch: 64, iters: 224, time: 0.259, data: 0.004) D_A: 0.289 G_A: 0.021 cycle_A: 0.020 idt_A: 0.000 D_B: 0.008 G_B: 0.466 cycle_B: 1.822 idt_B: 0.000 
(epoch: 66, iters: 320, time: 0.259, data: 0.000) D_A: 0.287 G_A: 0.021 cycle_A: 0.016 idt_A: 0.000 D_B: 0.008 G_B: 0.442 cycle_B: 1.833 idt_B: 0.000 
(epoch: 69, iters: 64, time: 0.258, data: 0.001) D_A: 0.285 G_A: 0.022 cycle_A: 0.020 idt_A: 0.000 D_B: 0.008 G_B: 0.465 cycle_B: 1.806 idt_B: 0.000 
(epoch: 71, iters: 160, time: 0.257, data: 0.001) D_A: 0.277 G_A: 0.021 cycle_A: 0.015 idt_A: 0.000 D_B: 0.008 G_B: 0.439 cycle_B: 1.812 idt_B: 0.000 
(epoch: 73, iters: 256, time: 0.257, data: 0.000) D_A: 0.274 G_A: 0.021 cycle_A: 0.015 idt_A: 0.000 D_B: 0.008 G_B: 0.434 cycle_B: 1.748 idt_B: 0.000 
(epoch: 75, iters: 352, time: 0.166, data: 0.002) D_A: 0.272 G_A: 0.022 cycle_A: 0.015 idt_A: 0.000 D_B: 0.008 G_B: 0.426 cycle_B: 1.832 idt_B: 0.000 
(epoch: 78, iters: 96, time: 0.256, data: 0.253) D_A: 0.276 G_A: 0.021 cycle_A: 0.014 idt_A: 0.000 D_B: 0.008 G_B: 0.404 cycle_B: 1.750 idt_B: 0.000 
(epoch: 80, iters: 192, time: 0.262, data: 0.000) D_A: 0.270 G_A: 0.022 cycle_A: 0.014 idt_A: 0.000 D_B: 0.008 G_B: 0.405 cycle_B: 1.759 idt_B: 0.000 
(epoch: 82, iters: 288, time: 0.258, data: 0.002) D_A: 0.269 G_A: 0.022 cycle_A: 0.012 idt_A: 0.000 D_B: 0.008 G_B: 0.396 cycle_B: 1.701 idt_B: 0.000 
(epoch: 85, iters: 32, time: 0.264, data: 0.002) D_A: 0.270 G_A: 0.022 cycle_A: 0.009 idt_A: 0.000 D_B: 0.008 G_B: 0.384 cycle_B: 1.708 idt_B: 0.000 
(epoch: 87, iters: 128, time: 0.259, data: 0.001) D_A: 0.268 G_A: 0.022 cycle_A: 0.010 idt_A: 0.000 D_B: 0.008 G_B: 0.376 cycle_B: 1.634 idt_B: 0.000 
(epoch: 89, iters: 224, time: 0.258, data: 0.003) D_A: 0.267 G_A: 0.022 cycle_A: 0.011 idt_A: 0.000 D_B: 0.008 G_B: 0.370 cycle_B: 1.647 idt_B: 0.000 
(epoch: 91, iters: 320, time: 0.257, data: 0.002) D_A: 0.264 G_A: 0.022 cycle_A: 0.012 idt_A: 0.000 D_B: 0.008 G_B: 0.368 cycle_B: 1.630 idt_B: 0.000 
(epoch: 94, iters: 64, time: 0.259, data: 0.002) D_A: 0.263 G_A: 0.022 cycle_A: 0.016 idt_A: 0.000 D_B: 0.008 G_B: 0.363 cycle_B: 1.683 idt_B: 0.000 
(epoch: 96, iters: 160, time: 0.258, data: 0.002) D_A: 0.265 G_A: 0.022 cycle_A: 0.008 idt_A: 0.000 D_B: 0.008 G_B: 0.354 cycle_B: 1.617 idt_B: 0.000 
(epoch: 98, iters: 256, time: 0.258, data: 0.000) D_A: 0.258 G_A: 0.022 cycle_A: 0.008 idt_A: 0.000 D_B: 0.008 G_B: 0.359 cycle_B: 1.597 idt_B: 0.000 
(epoch: 100, iters: 352, time: 0.169, data: 0.002) D_A: 0.241 G_A: 0.023 cycle_A: 0.038 idt_A: 0.000 D_B: 0.008 G_B: 0.454 cycle_B: 1.865 idt_B: 0.000 
(epoch: 103, iters: 96, time: 0.257, data: 0.198) D_A: 0.264 G_A: 0.022 cycle_A: 0.009 idt_A: 0.000 D_B: 0.008 G_B: 0.343 cycle_B: 1.604 idt_B: 0.000 
(epoch: 105, iters: 192, time: 0.262, data: 0.001) D_A: 0.263 G_A: 0.022 cycle_A: 0.014 idt_A: 0.000 D_B: 0.008 G_B: 0.345 cycle_B: 1.558 idt_B: 0.000 
(epoch: 107, iters: 288, time: 0.259, data: 0.003) D_A: 0.264 G_A: 0.023 cycle_A: 0.013 idt_A: 0.000 D_B: 0.008 G_B: 0.329 cycle_B: 1.651 idt_B: 0.000 
(epoch: 110, iters: 32, time: 0.263, data: 0.002) D_A: 0.253 G_A: 0.022 cycle_A: 0.009 idt_A: 0.000 D_B: 0.008 G_B: 0.341 cycle_B: 1.657 idt_B: 0.000 
(epoch: 112, iters: 128, time: 0.259, data: 0.000) D_A: 0.258 G_A: 0.022 cycle_A: 0.011 idt_A: 0.000 D_B: 0.008 G_B: 0.323 cycle_B: 1.576 idt_B: 0.000 
(epoch: 114, iters: 224, time: 0.258, data: 0.002) D_A: 0.261 G_A: 0.022 cycle_A: 0.009 idt_A: 0.000 D_B: 0.008 G_B: 0.316 cycle_B: 1.587 idt_B: 0.000 
(epoch: 116, iters: 320, time: 0.258, data: 0.002) D_A: 0.259 G_A: 0.022 cycle_A: 0.009 idt_A: 0.000 D_B: 0.008 G_B: 0.317 cycle_B: 1.576 idt_B: 0.000 
(epoch: 119, iters: 64, time: 0.257, data: 0.002) D_A: 0.253 G_A: 0.023 cycle_A: 0.011 idt_A: 0.000 D_B: 0.008 G_B: 0.332 cycle_B: 1.583 idt_B: 0.000 
(epoch: 121, iters: 160, time: 0.258, data: 0.005) D_A: 0.253 G_A: 0.022 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.311 cycle_B: 1.681 idt_B: 0.000 
(epoch: 123, iters: 256, time: 0.259, data: 0.000) D_A: 0.261 G_A: 0.022 cycle_A: 0.008 idt_A: 0.000 D_B: 0.008 G_B: 0.305 cycle_B: 1.581 idt_B: 0.000 
(epoch: 125, iters: 352, time: 0.168, data: 0.002) D_A: 0.257 G_A: 0.022 cycle_A: 0.011 idt_A: 0.000 D_B: 0.008 G_B: 0.303 cycle_B: 1.541 idt_B: 0.000 
(epoch: 128, iters: 96, time: 0.258, data: 0.205) D_A: 0.257 G_A: 0.023 cycle_A: 0.007 idt_A: 0.000 D_B: 0.008 G_B: 0.301 cycle_B: 1.543 idt_B: 0.000 
(epoch: 130, iters: 192, time: 0.267, data: 0.002) D_A: 0.254 G_A: 0.022 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.297 cycle_B: 1.574 idt_B: 0.000 
(epoch: 132, iters: 288, time: 0.259, data: 0.002) D_A: 0.252 G_A: 0.022 cycle_A: 0.009 idt_A: 0.000 D_B: 0.008 G_B: 0.299 cycle_B: 1.540 idt_B: 0.000 
(epoch: 135, iters: 32, time: 0.263, data: 0.002) D_A: 0.257 G_A: 0.022 cycle_A: 0.008 idt_A: 0.000 D_B: 0.008 G_B: 0.305 cycle_B: 1.626 idt_B: 0.000 
(epoch: 137, iters: 128, time: 0.257, data: 0.001) D_A: 0.252 G_A: 0.022 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.296 cycle_B: 1.551 idt_B: 0.000 
(epoch: 139, iters: 224, time: 0.257, data: 0.002) D_A: 0.259 G_A: 0.022 cycle_A: 0.009 idt_A: 0.000 D_B: 0.008 G_B: 0.286 cycle_B: 1.585 idt_B: 0.000 
(epoch: 141, iters: 320, time: 0.257, data: 0.002) D_A: 0.255 G_A: 0.023 cycle_A: 0.008 idt_A: 0.000 D_B: 0.008 G_B: 0.288 cycle_B: 1.553 idt_B: 0.000 
(epoch: 144, iters: 64, time: 0.258, data: 0.002) D_A: 0.251 G_A: 0.023 cycle_A: 0.007 idt_A: 0.000 D_B: 0.008 G_B: 0.288 cycle_B: 1.492 idt_B: 0.000 
(epoch: 146, iters: 160, time: 0.257, data: 0.001) D_A: 0.250 G_A: 0.022 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.282 cycle_B: 1.496 idt_B: 0.000 
(epoch: 148, iters: 256, time: 0.257, data: 0.000) D_A: 0.251 G_A: 0.022 cycle_A: 0.004 idt_A: 0.000 D_B: 0.008 G_B: 0.283 cycle_B: 1.517 idt_B: 0.000 
(epoch: 150, iters: 352, time: 0.168, data: 0.001) D_A: 0.260 G_A: 0.022 cycle_A: 0.009 idt_A: 0.000 D_B: 0.008 G_B: 0.282 cycle_B: 1.529 idt_B: 0.000 
